Sample	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_gc
genome | fastq | qc | Int-01_S42_L005_R1_001	36.36363636363637	151	151.0	73.15821097531398	12421987.0	49.0
genome | fastq | qc | Int-01_S42_L005_R2_001	45.45454545454545	151	151.0	74.4516759037079	12421987.0	50.0
genome | fastq | qc | Int-02_S43_L005_R1_001	45.45454545454545	151	151.0	68.19962108276289	15738415.0	50.0
genome | fastq | qc | Int-02_S43_L005_R2_001	45.45454545454545	151	151.0	70.49757372103419	15738415.0	51.0
genome | fastq | qc | Int-03_S44_L005_R1_001	36.36363636363637	151	151.0	56.984115785930044	13521806.0	49.0
genome | fastq | qc | Int-03_S44_L005_R2_001	45.45454545454545	151	151.0	60.480094805253145	13521806.0	50.0
genome | fastq | qc | Int-04_S45_L005_R1_001	36.36363636363637	151	151.0	58.44512738901909	17961443.0	49.0
genome | fastq | qc | Int-04_S45_L005_R2_001	45.45454545454545	151	151.0	62.028688620825605	17961443.0	50.0
genome | fastq | qc | Liv-01_S38_L005_R1_001	45.45454545454545	151	151.0	60.54877132695965	20176743.0	49.0
genome | fastq | qc | Liv-01_S38_L005_R2_001	54.54545454545454	151	151.0	64.06773166971985	20176743.0	50.0
genome | fastq | qc | Liv-02_S39_L005_R1_001	36.36363636363637	151	151.0	76.03564103010457	14755790.0	52.0
genome | fastq | qc | Liv-02_S39_L005_R2_001	54.54545454545454	151	151.0	77.04462386226162	14755790.0	53.0
genome | fastq | qc | Liv-03_S40_L005_R1_001	45.45454545454545	151	151.0	58.64546286014226	20441278.0	48.0
genome | fastq | qc | Liv-03_S40_L005_R2_001	54.54545454545454	151	151.0	61.94559077039338	20441278.0	49.0
genome | fastq | qc | Liv-04_S41_L005_R1_001	36.36363636363637	151	151.0	57.4439038274358	13461820.0	48.0
genome | fastq | qc | Liv-04_S41_L005_R2_001	45.45454545454545	151	151.0	60.377076615581636	13461820.0	49.0
trimmed_data | qc | Int-01_S42_L005_R1_001	18.181818181818183	151	143.52676890670747	72.69567544934034	12199004.0	48.0
trimmed_data | qc | Int-01_S42_L005_R2_001	9.090909090909092	151	143.54893120782648	74.02567224059477	12199004.0	49.0
trimmed_data | qc | Int-02_S43_L005_R1_001	18.181818181818183	151	145.82427427674045	66.84306919332747	15099144.0	49.0
trimmed_data | qc | Int-02_S43_L005_R2_001	18.181818181818183	151	145.73063227955174	69.29290314782256	15099144.0	49.0
trimmed_data | qc | Int-03_S44_L005_R1_001	27.27272727272727	151	145.17129281401137	56.16853852002849	13272203.0	48.0
trimmed_data | qc | Int-03_S44_L005_R2_001	18.181818181818183	151	145.11506175726817	59.80127852810276	13272203.0	49.0
trimmed_data | qc | Int-04_S45_L005_R1_001	27.27272727272727	151	142.00123650798292	57.173501426054436	17411129.0	48.0
trimmed_data | qc | Int-04_S45_L005_R2_001	27.27272727272727	151	142.04123603931714	60.972252415112486	17411129.0	48.0
trimmed_data | qc | Liv-01_S38_L005_R1_001	27.27272727272727	151	140.1329918087527	59.73124469997477	19765488.0	48.0
trimmed_data | qc | Liv-01_S38_L005_R2_001	27.27272727272727	151	140.24688446852412	63.40027933715836	19765488.0	49.0
trimmed_data | qc | Liv-02_S39_L005_R1_001	18.181818181818183	151	140.19927378189348	73.73377045670537	13546619.0	49.0
trimmed_data | qc | Liv-02_S39_L005_R2_001	9.090909090909092	151	140.25652408176535	74.99235882205693	13546619.0	49.0
trimmed_data | qc | Liv-03_S40_L005_R1_001	27.27272727272727	151	146.5190474368163	58.61200494581255	20408389.0	48.0
trimmed_data | qc | Liv-03_S40_L005_R2_001	36.36363636363637	151	146.38097377504909	61.933945824901734	20408389.0	49.0
trimmed_data | qc | Liv-04_S41_L005_R1_001	27.27272727272727	151	144.28078874565037	56.47515501227286	13158006.0	48.0
trimmed_data | qc | Liv-04_S41_L005_R2_001	27.27272727272727	151	144.2878038663305	59.48910497655964	13158006.0	48.0
